Alter;qx;qy
0;0,011687;0,009003
1;0,001008;0,000867
2;0,000728;0,000624
3;0,000542;0,000444
4;0,000473;0,000345
5;0,000452;0,000307
6;0,000433;0,000293
7;0,000408;0,000283
8;0,000379;0,000275
9;0,000352;0,000268
10;0,000334;0,000261
11;0,000331;0,00026
12;0,00034;0,000267
13;0,000371;0,000281
14;0,000451;0,000307
15;0,000593;0,000353
16;0,000792;0,000416
17;0,00104;0,00048
18;0,001298;0,000537
19;0,001437;0,00056
20;0,001476;0,00056
21;0,001476;0,00056
22;0,001476;0,00056
23;0,001476;0,00056
24;0,001476;0,00056
25;0,001476;0,00056
26;0,001476;0,00056
27;0,001476;0,000581
28;0,001476;0,000612
29;0,001476;0,000645
30;0,001476;0,000689
31;0,001476;0,000735
32;0,001489;0,000783
33;0,001551;0,000833
34;0,001641;0,000897
35;0,001747;0,000971
36;0,001869;0,001057
37;0,002007;0,001156
38;0,002167;0,001267
39;0,002354;0,00139
40;0,002569;0,001524
41;0,002823;0,001672
42;0,003087;0,001812
43;0,003387;0,001964
44;0,003726;0,002126
45;0,0041;0,002295
46;0,004522;0,00248
47;0,004983;0,002676
48;0,005508;0,002902
49;0,006094;0,003151
50;0,006751;0,003425
51;0,007485;0,003728
52;0,008302;0,004066
53;0,009215;0,00445
54;0,010195;0,004862
55;0,011236;0,005303
56;0,01234;0,005777
57;0,013519;0,006302
58;0,014784;0,006884
59;0,01615;0,00753
60;0,017625;0,00824
61;0,019223;0,009022
62;0,020956;0,009884
63;0,022833;0,010839
64;0,024858;0,011889
65;0,027073;0,013054
66;0,029552;0,014371
67;0,03235;0,015874
68;0,035632;0,017667
69;0,039224;0,019657
70;0,043127;0,021861
71;0,0474;0,024344
72;0,05211;0,027191
73;0,057472;0,030576
74;0,06344;0,034504
75;0,070039;0,03903
76;0,077248;0,044184
77;0,085073;0,050014
78;0,093534;0,056574
79;0,102662;0,063921
80;0,112477;0,072101
81;0,122995;0,081151
82;0,134231;0,091096
83;0,146212;0,10197
84;0,158964;0,113798
85;0,172512;0,126628
86;0,186896;0,140479
87;0,202185;0,155379
88;0,218413;0,171325
89;0,235597;0,188318
90;0,253691;0,206375
91;0,272891;0,225558
92;0,293142;0,245839
93;0,314638;0,26727
94;0,337739;0,289983
95;0,36206;0,314007
96;0,388732;0,340119
97;0,419166;0,367388
98;0,452008;0,397027
99;0,4864;0,428748
100;1;1
101;1;1
102;1;1
103;1;1
104;1;1
105;1;1
106;1;1
107;1;1
108;1;1
109;1;1
110;1;1
111;1;1
112;1;1
113;1;1
114;1;1
115;1;1
116;1;1
117;1;1
118;1;1
119;1;1
120;1;1
121;1;1
122;1;1
123;1;1
